,Unnamed: 0,Rk,Player1,Player2,Player3,Player4,Player5,MP,PTS,New PTS,Tm
572,572,588,Bradley Beal 2016,Jared Dudley 2016,Nene 2016,Ramon Sessions 2016,Garrett Temple 2016,50.14,-17.3,-3.2211338541666668,WAS
573,573,589,Marcin Gortat 2016,Nene 2016,Otto Porter 2016,Garrett Temple 2016,John Wall 2016,47.08,-6.3,-0.22015312499999995,WAS
574,574,590,Jared Dudley 2016,Nene 2016,Gary Neal 2016,Ramon Sessions 2016,Garrett Temple 2016,45.09,10.9,3.902646093750001,WAS
575,575,591,Jared Dudley 2016,Nene 2016,Otto Porter 2016,Garrett Temple 2016,John Wall 2016,45.03,3.4,2.14080390625,WAS
576,576,592,Jared Dudley 2016,Marcin Gortat 2016,Ramon Sessions 2016,Garrett Temple 2016,John Wall 2016,44.55,30.1,8.33192578125,WAS
577,577,593,Jared Dudley 2016,Marcin Gortat 2016,Gary Neal 2016,Garrett Temple 2016,John Wall 2016,42.11,2.6,1.9403278645833333,WAS
578,578,594,Jared Dudley 2016,Marcin Gortat 2016,Otto Porter 2016,Ramon Sessions 2016,John Wall 2016,40.0,-18.1,-2.3814583333333337,WAS
579,579,595,Marcin Gortat 2016,Kris Humphries 2016,Otto Porter 2016,Garrett Temple 2016,John Wall 2016,39.34,7.4,2.911636979166667,WAS
580,580,596,Marcin Gortat 2016,Otto Porter 2016,Ramon Sessions 2016,Garrett Temple 2016,John Wall 2016,35.45,21.6,5.419089843750001,WAS
581,581,597,Bradley Beal 2016,Marcin Gortat 2016,Nene 2016,Otto Porter 2016,John Wall 2016,34.52,5.0,2.3384239583333333,WAS
582,582,598,Bradley Beal 2016,Jared Dudley 2016,Nene 2016,Garrett Temple 2016,John Wall 2016,34.21,-19.0,-1.9430653645833336,WAS
583,583,599,Bradley Beal 2016,Jared Dudley 2016,Nene 2016,Gary Neal 2016,Ramon Sessions 2016,33.56,-5.9,0.4169697916666668,WAS
